algorithm,run,final_best_fitness,evals_to_target
PSO,1,500.0,910
PSO,2,500.0,295
PSO,3,321.0,-1
PSO,4,100.8,-1
ES_mu+lambda,1,500.0,293
ES_mu+lambda,2,500.0,213
ES_mu+lambda,3,500.0,133
ES_mu+lambda,4,500.0,353
