algorithm,run,final_best_fitness,evals_to_target
PSO,1,514.2741589867567,650
PSO,2,532.3623238405781,130
PSO,3,518.5434806566785,671
PSO,4,524.3102374026656,285
ES_mu+lambda,1,525.710972550235,448
ES_mu+lambda,2,524.3102374026656,484
ES_mu+lambda,3,532.3623238405781,375
ES_mu+lambda,4,532.3623238405781,374
