algorithm,mean_final_fitness,std_final_fitness,success_rate,mean_evals_to_target_if_hit
PSO,522.3725502216698,7.827215828881787,1.0,434.0
ES_mu+lambda,528.6864644085142,4.282865074300567,1.0,420.25
