algorithm,mean_final_fitness,std_final_fitness,success_rate,mean_evals_to_target_if_hit,noise_std
PSO,459.75,80.5,0.75,240.33333333333334,0.0
ES_mu+lambda,500.0,0.0,1.0,437.5,0.0
PSO,507.3753925658876,1.8524566456488845,1.0,296.5,3.0
ES_mu+lambda,506.67382161078854,0.7556590666222844,1.0,376.25,3.0
PSO,522.3725502216698,7.827215828881787,1.0,434.0,10.0
ES_mu+lambda,528.6864644085142,4.282865074300567,1.0,420.25,10.0
