algorithm,run,final_best_fitness,evals_to_target
PSO,1,509.70869715217344,152
PSO,2,507.32466533800664,130
PSO,3,505.1751365525705,646
PSO,4,507.2930712207997,258
ES_mu+lambda,1,507.32466533800664,388
ES_mu+lambda,2,506.1195999459288,247
ES_mu+lambda,3,505.92635582121204,627
ES_mu+lambda,4,507.32466533800664,243
