algorithm,mean_final_fitness,std_final_fitness,success_rate,mean_evals_to_target_if_hit
PSO,507.3753925658876,1.8524566456488845,1.0,296.5
ES_mu+lambda,506.67382161078854,0.7556590666222844,1.0,376.25
